temp_C,time_min,mass_loss
44.362,1.28833,-7.20E-02
44.383,1.29,-7.24E-02
44.401,1.29167,-7.24E-02
44.422,1.29333,-7.26E-02
44.442,1.295,-7.26E-02
44.462,1.29667,-7.31E-02
44.482,1.29833,-7.31E-02
44.503,1.3,-7.35E-02
44.521,1.30167,-7.35E-02
44.541,1.30333,-7.39E-02
44.563,1.305,-7.39E-02
44.583,1.30667,-7.43E-02
44.602,1.30833,-7.43E-02
44.623,1.31,-7.45E-02
44.644,1.31167,-7.45E-02
44.664,1.31333,-7.49E-02
44.681,1.315,-7.49E-02
44.702,1.31667,-7.53E-02
44.721,1.31833,-7.53E-02
44.741,1.32,-7.56E-02
44.76,1.32167,-7.56E-02
44.78,1.32333,-7.60E-02
44.8,1.325,-7.60E-02
44.82,1.32667,-7.64E-02
44.841,1.32833,-7.64E-02
44.86,1.33,-7.68E-02
44.879,1.33167,-7.67E-02
44.9,1.33333,-7.69E-02
44.919,1.335,-7.69E-02
44.938,1.33667,-7.74E-02
44.958,1.33833,-7.74E-02
44.979,1.34,-7.78E-02
44.999,1.34167,-7.78E-02
45.017,1.34333,-7.82E-02
45.035,1.345,-7.82E-02
45.054,1.34667,-7.84E-02
45.076,1.34833,-7.84E-02
45.095,1.35,-7.88E-02
45.115,1.35167,-7.88E-02
45.134,1.35333,-7.90E-02
45.154,1.355,-7.90E-02
45.172,1.35667,-7.95E-02
45.193,1.35833,-7.95E-02
45.212,1.36,-7.99E-02
45.23,1.36167,-7.99E-02
45.253,1.36333,-8.03E-02
45.274,1.365,-8.03E-02
45.292,1.36667,-8.05E-02
45.311,1.36833,-8.05E-02
45.33,1.37,-8.09E-02
45.351,1.37167,-8.08E-02
45.371,1.37333,-8.12E-02
45.389,1.375,-8.12E-02
45.408,1.37667,-8.16E-02
45.427,1.37833,-8.16E-02
45.446,1.38,-8.19E-02
45.466,1.38167,-8.19E-02
45.486,1.38333,-8.23E-02
45.504,1.385,-8.23E-02
45.523,1.38667,-8.27E-02
45.546,1.38833,-8.27E-02
45.567,1.39,-8.29E-02
